estado;cidade;populacao;pib;pib_percapita;sigla;regiao
BAHIA;Tremedal;18433;57883.9921875;3140.23999023;BA;NORDESTE
BAHIA;Maetinga;7884;23558.44726562;2988.12988281;BA;NORDESTE
BAHIA;Ibirapua;7893;74997.40625;9501.75976562;BA;NORDESTE
BAHIA;Governador Mangabeira;20668;92903.8203125;4495.06005859;BA;NORDESTE
BAHIA;Ibitita;19410;62366.88671875;3213.12988281;BA;NORDESTE
BAHIA;Satiro Dias;18919;75908.4609375;4012.29003906;BA;NORDESTE
BAHIA;Irajuba;7666;29224.98828125;3812.29003906;BA;NORDESTE
BAHIA;Itaquara;7743;33105.69921875;4275.56982422;BA;NORDESTE
BAHIA;Cansancao;34093;112228.7734375;3291.84008789;BA;NORDESTE
BAHIA;Itaparica;20796;102586.6484375;4933.0;BA;NORDESTE
BAHIA;Nova Redencao;9318;28909.56835938;3102.55004883;BA;NORDESTE
BAHIA;Ibicui;16464;69475.15625;4219.81982422;BA;NORDESTE
BAHIA;Santa Rita de Cassia;27528;91663.0;3329.81005859;BA;NORDESTE
BAHIA;Nordestina;12670;35456.31640625;2798.44995117;BA;NORDESTE
BAHIA;Coronel Joao Sa;18408;76828.921875;4173.66992188;BA;NORDESTE
BAHIA;Pedro Alexandre;17698;58842.01171875;3324.7800293;BA;NORDESTE
BAHIA;Prado;26016;285453.96875;10972.25;BA;NORDESTE
BAHIA;Iacu;28602;109799.9453125;3838.88989258;BA;NORDESTE
BAHIA;Araci;54713;172730.890625;3157.04003906;BA;NORDESTE
BAHIA;Coribe;14895;63455.30859375;4260.18017578;BA;NORDESTE
BAHIA;Aracas;12209;97321.03125;7971.25;BA;NORDESTE
BAHIA;Conceicao do Almeida;17974;69316.4296875;3856.47998047;BA;NORDESTE
BAHIA;Baianopolis;14195;60239.99609375;4243.75;BA;NORDESTE
BAHIA;Cruz das Almas;57098;387271.40625;6782.56982422;BA;NORDESTE
BAHIA;Feira de Santana;591707;6358135.5;10745.41015625;BA;NORDESTE
BAHIA;Jaborandi;8895;161163.734375;18118.4609375;BA;NORDESTE
BAHIA;Santaluz;35416;129238.140625;3649.14990234;BA;NORDESTE
BAHIA;Alagoinhas;137810;1298216.375;9420.33984375;BA;NORDESTE
BAHIA;Itirucu;16827;68143.1640625;4049.62988281;BA;NORDESTE
BAHIA;Mulungu do Morro;13879;39825.95703125;2869.51000977;BA;NORDESTE
BAHIA;Cabaceiras do Paraguacu;18569;58247.78515625;3136.83007812;BA;NORDESTE
BAHIA;Tanque Novo;16466;70092.859375;4256.81982422;BA;NORDESTE
BAHIA;Planaltino;8880;31850.30078125;3586.75;BA;NORDESTE
BAHIA;Serrinha;73859;393287.0625;5324.83984375;BA;NORDESTE
BAHIA;Ipiau;43723;271794.59375;6216.27978516;BA;NORDESTE
BAHIA;Conceicao do Jacuipe;28769;404286.28125;14052.83984375;BA;NORDESTE
BAHIA;Ibirapitanga;24223;94739.7421875;3911.14990234;BA;NORDESTE
BAHIA;Itapetinga;66665;658192.25;9873.12988281;BA;NORDESTE
BAHIA;Umburanas;17096;48177.484375;2818.06005859;BA;NORDESTE
BAHIA;Brejoes;12446;92945.0078125;7467.85986328;BA;NORDESTE
BAHIA;Coaraci;22274;88990.53125;3995.26000977;BA;NORDESTE
BAHIA;Marcionilio Souza;11061;41508.33203125;3752.66992188;BA;NORDESTE
BAHIA;Queimadas;28729;95227.765625;3314.68994141;BA;NORDESTE
BAHIA;Itabela;26704;201399.09375;7541.91015625;BA;NORDESTE
BAHIA;Salvador;2998056;32824228.0;10948.5;BA;NORDESTE
BAHIA;Jussiape;8043;28544.64453125;3549.0;BA;NORDESTE
BAHIA;Lencois;10112;52895.79296875;5230.99023438;BA;NORDESTE
BAHIA;Aramari;9911;36618.66796875;3694.75;BA;NORDESTE
