estado;sigla;regiao
ACRE;AC;NORTE
ALAGOAS;AL;NORDESTE
AMAPA;AP;NORTE
AMAZONAS;AM;NORTE
BAHIA;BA;NORDESTE
CEARA;CE;NORDESTE
DISTRITO FEDERAL;DF;CENTRO-OESTE
ESPIRITO SANTO;ES;SUDESTE
GOIAS;GO;CENTRO-OESTE
MARANHAO;MA;NORDESTE
MATO GROSSO;MT;CENTRO-OESTE
MATO GROSSO DO SUL;MS;CENTRO-OESTE
PARA;PA;NORTE
PARAIBA;PB;NORDESTE
PARANA;PR;SUL
PERNAMBUCO;PE;NORDESTE
PIAUI;PI;NORDESTE
RIO DE JANEIRO;RJ;SUDESTE
RIO GRANDE DO NORTE;RN;NORDESTE
RIO GRANDE DO SUL;RS;SUL
RONDONIA;RO;NORTE
RORAIMA;RR;NORTE
SANTA CATARINA;SC;SUL
SAO PAULO;SP;SUDESTE
SERGIPE;SE;NORDESTE
TOCANTINS;TO;NORTE
MINAS GERAIS;MG;SUDESTE
